"","County","Population.2024","fips","wind_project_count","solar_project_count","fuel_station_count"
"1","Allen",12425,"20001",59,0,2
"2","Anderson",7908,"20003",0,0,0
"3","Atchison",16249,"20005",0,0,2
"4","Barber",4070,"20007",92,0,0
"5","Barton",24835,"20009",0,0,3
"6","Bourbon",14424,"20011",56,0,2
"7","Brown",9142,"20013",0,0,1
"8","Butler",69158,"20015",100,2,3
"9","Chase",2507,"20017",0,0,1
"10","Chautauqua",3339,"20019",0,0,0
"11","Cherokee",19133,"20021",0,0,2
"12","Cheyenne",2646,"20023",0,0,1
"13","Clark",1873,"20025",284,0,0
"14","Clay",7969,"20027",0,0,4
"15","Cloud",8723,"20029",70,0,3
"16","Coffey",8301,"20031",95,0,1
"17","Comanche",1694,"20033",0,0,0
"18","Cowley",34186,"20035",0,0,1
"19","Crawford",38904,"20037",14,0,9
"20","Decatur",2716,"20039",0,0,0
"21","Dickinson",18621,"20041",0,0,4
"22","Doniphan",7575,"20043",0,0,0
"23","Douglas",121989,"20045",0,1,16
"24","Edwards",2731,"20047",0,0,0
"25","Elk",2436,"20049",111,0,0
"26","Ellis",29007,"20051",115,0,7
"27","Ellsworth",6316,"20053",124,0,0
"28","Finney",38354,"20055",0,0,1
"29","Ford",34072,"20057",464,0,1
"30","Franklin",26273,"20059",0,0,0
"31","Geary",35459,"20061",0,0,0
"32","Gove",2658,"20063",1,0,2
"33","Graham",2370,"20065",0,0,0
"34","Grant",7097,"20067",61,0,0
"35","Gray",5730,"20069",342,0,0
"36","Greely",1152,"20071",0,0,0
"37","Greenwood",5871,"20073",0,0,0
"38","Hamilton",2488,"20075",0,0,0
"39","Harper",5413,"20077",203,0,1
"40","Harvey",33642,"20079",1,0,1
"41","Haskell",3591,"20081",74,0,0
"42","Hodgeman",1673,"20083",0,0,0
"43","Jackson",13525,"20085",0,0,1
"44","Jefferson",18332,"20087",0,0,0
"45","Jewell",2899,"20089",0,0,0
"46","Johnson",632276,"20091",0,0,353
"47","Kearny",3808,"20093",0,0,0
"48","Kingman",6946,"20095",284,0,0
"49","Kiowa",2436,"20097",77,0,1
"50","Labette",19692,"20099",0,0,3
"51","Lane",1482,"20101",0,0,0
"52","Leavenworth",84670,"20103",0,0,13
"53","Lincoln",2928,"20105",165,0,0
"54","Linn",9841,"20107",0,0,3
"55","Logan",2694,"20109",0,0,1
"56","Lyon",32520,"20111",53,1,6
"57","McPherson",30334,"20113",0,0,7
"58","Marion",11670,"20115",171,0,1
"59","Marshall",9950,"20117",144,0,1
"60","Meade",3892,"20119",0,0,0
"61","Miami",35737,"20121",0,0,12
"62","Mitchell",5803,"20123",0,1,1
"63","Montgomery",30459,"20125",0,0,1
"64","Morris",5279,"20127",0,0,0
"65","Morton",2485,"20129",0,0,0
"66","Nemaha",10062,"20131",120,0,2
"67","Neosho",15552,"20133",139,0,1
"68","Ness",2617,"20135",94,0,0
"69","Norton",5335,"20137",0,0,0
"70","Osage",15737,"20139",9,0,0
"71","Osborne",3353,"20141",0,0,0
"72","Ottawa",5853,"20143",0,0,0
"73","Pawnee",6012,"20145",0,0,0
"74","Phillips",4733,"20147",0,0,0
"75","Pottawatomie",26876,"20149",0,0,3
"76","Pratt",9137,"20151",227,1,1
"77","Rawlins",2432,"20153",0,0,0
"78","Reno",61417,"20155",0,1,7
"79","Republic",4613,"20157",202,0,2
"80","Rice",9284,"20159",0,0,2
"81","Riley",72557,"20161",0,1,11
"82","Rooks",4748,"20163",0,0,0
"83","Rush",2810,"20165",21,0,0
"84","Russell",6620,"20167",0,0,1
"85","Saline",53459,"20169",0,0,17
"86","Scott",4914,"20171",0,0,1
"87","Sedgwick",2944,"20173",0,1,42
"88","Seward",21276,"20175",0,0,1
"89","Shawnee",177942,"20177",0,2,24
"90","Sheridan",2397,"20179",0,0,0
"91","Sherman",5796,"20181",0,0,3
"92","Smith",3541,"20183",0,0,0
"93","Stafford",3901,"20185",0,0,0
"94","Stanton",2071,"20187",0,1,0
"95","Stevens",5035,"20189",0,0,0
"96","Sumner",22336,"20191",184,0,1
"97","Thomas",7802,"20193",177,1,3
"98","Trego",2774,"20195",17,0,1
"99","Wabaunsee",7112,"20197",0,0,1
"100","Wallace",1472,"20199",0,0,0
"101","Washington",5572,"20201",32,0,0
"102","Wichita",2072,"20203",33,0,0
"103","Wilson",8398,"20205",0,1,0
"104","Woodson",3111,"20207",0,0,0
"105","Wyandotte",169418,"20209",0,1,15
"106","Kansas",2437469,"20",0,0,0
