"","County","Population.2024","fips"
"1","Allen",12425,20001
"2","Anderson",7908,20003
"3","Atchison",16249,20005
"4","Barber",4070,20007
"5","Barton",24835,20009
"6","Bourbon",14424,20011
"7","Brown",9142,20013
"8","Butler",69158,20015
"9","Chase",2507,20017
"10","Chautauqua",3339,20019
"11","Cherokee",19133,20021
"12","Cheyenne",2646,20023
"13","Clark",1873,20025
"14","Clay",7969,20027
"15","Cloud",8723,20029
"16","Coffey",8301,20031
"17","Comanche",1694,20033
"18","Cowley",34186,20035
"19","Crawford",38904,20037
"20","Decatur",2716,20039
"21","Dickinson",18621,20041
"22","Doniphan",7575,20043
"23","Douglas",121989,20045
"24","Edwards",2731,20047
"25","Elk",2436,20049
"26","Ellis",29007,20051
"27","Ellsworth",6316,20053
"28","Finney",38354,20055
"29","Ford",34072,20057
"30","Franklin",26273,20059
"31","Geary",35459,20061
"32","Gove",2658,20063
"33","Graham",2370,20065
"34","Grant",7097,20067
"35","Gray",5730,20069
"36","Greely",1152,20071
"37","Greenwood",5871,20073
"38","Hamilton",2488,20075
"39","Harper",5413,20077
"40","Harvey",33642,20079
"41","Haskell",3591,20081
"42","Hodgeman",1673,20083
"43","Jackson",13525,20085
"44","Jefferson",18332,20087
"45","Jewell",2899,20089
"46","Johnson",632276,20091
"47","Kearny",3808,20093
"48","Kingman",6946,20095
"49","Kiowa",2436,20097
"50","Labette",19692,20099
"51","Lane",1482,20101
"52","Leavenworth",84670,20103
"53","Lincoln",2928,20105
"54","Linn",9841,20107
"55","Logan",2694,20109
"56","Lyon",32520,20111
"57","McPherson",30334,20113
"58","Marion",11670,20115
"59","Marshall",9950,20117
"60","Meade",3892,20119
"61","Miami",35737,20121
"62","Mitchell",5803,20123
"63","Montgomery",30459,20125
"64","Morris",5279,20127
"65","Morton",2485,20129
"66","Nemaha",10062,20131
"67","Neosho",15552,20133
"68","Ness",2617,20135
"69","Norton",5335,20137
"70","Osage",15737,20139
"71","Osborne",3353,20141
"72","Ottawa",5853,20143
"73","Pawnee",6012,20145
"74","Phillips",4733,20147
"75","Pottawatomie",26876,20149
"76","Pratt",9137,20151
"77","Rawlins",2432,20153
"78","Reno",61417,20155
"79","Republic",4613,20157
"80","Rice",9284,20159
"81","Riley",72557,20161
"82","Rooks",4748,20163
"83","Rush",2810,20165
"84","Russell",6620,20167
"85","Saline",53459,20169
"86","Scott",4914,20171
"87","Sedgwick",2944,20173
"88","Seward",21276,20175
"89","Shawnee",177942,20177
"90","Sheridan",2397,20179
"91","Sherman",5796,20181
"92","Smith",3541,20183
"93","Stafford",3901,20185
"94","Stanton",2071,20187
"95","Stevens",5035,20189
"96","Sumner",22336,20191
"97","Thomas",7802,20193
"98","Trego",2774,20195
"99","Wabaunsee",7112,20197
"100","Wallace",1472,20199
"101","Washington",5572,20201
"102","Wichita",2072,20203
"103","Wilson",8398,20205
"104","Woodson",3111,20207
"105","Wyandotte",169418,20209
"106","Kansas",2437469,20
